"Börsdata ID";"Company";"Stock price - Current";"Info - Price Currency";"Info - Country";"Info - Ticker";"Info - Sector";"Market Cap - Current SEK";"P/E - Current";"Earnings/share - Growth 1y";"PEG - Current";"ROC - Current";"Rel. Perform - Perform. 1y"
"1915";"Nord Insuretech";"0.75";"SEK";"Sweden";"NORDIG";"Technology";"277.2";"-7.6";"37.1%";;"-212.8%";"106.0%"
"159";"Nordea Bank";"168.25";"SEK";"Sweden";"NDA SE";"Financials";"574024.4";"11.2";"-3.2%";"-3.5";"1.0%";"8.2%"
"688";"Nordea Bank";"15.62";"EUR";"Finland";"NDA FI";"Financials";"596862.6";"11.2";"-3.2%";"-3.5";"1.0%";"10.7%"
"943";"Nordea Bank";"116.75";"DKK";"Denmark";"NDA DK";"Financials";"601463.4";"11.2";"-3.2%";"-3.5";"1.0%";"10.9%"
"2593";"Norden Estates";"0.61";"SEK";"Sweden";"NORDEN";"Financials";"25.1";;;;;
"2179";"Nordhealth";"27.80";"NOK";"Norway";"NORDH";"Technology";"2296.2";"-14.9";"-64.9%";;"-21.8%";"-36.7%"
"2041";"Nordic Aqua Partners";"77.60";"NOK";"Norway";"NOAP";"Food and Beverage";"1695.6";"-63.6";"23.8%";;"-8.8%";"-15.9%"
"1344";"Nordic Financials";"1.93";"NOK";"Norway";"NOFIN";"Utilities";"39.1";"-3.2";"99.5%";;"-74.7%";"-106.9%"
"354";"Nordic Flanges";"10.70";"SEK";"Sweden";"NFGAB";"Industrials";"24.5";"-1.8";"44.2%";;"-45.0%";"-31.3%"
"2164";"Nordic Halibut";"21.60";"NOK";"Norway";"NOHAL";"Food and Beverage";"1188.9";"-115.8";"92.7%";;"1.0%";"1.3%"
"1742";"Nordic Iron Ore";"3.80";"SEK";"Sweden";"NIO";"Materials";"258.1";"-13.2";"1.1%";;"-9.6%";"-38.0%"
"277";"Nordic LEVEL";"0.59";"SEK";"Sweden";"LEVEL";"Industrials";"123.6";"-58.8";"67.8%";;"1.7%";"-13.5%"
"1169";"Nordic Mining";"11.02";"NOK";"Norway";"NOM";"Materials";"1419.7";"-2.7";"-280.7%";;"-16.3%";"-55.3%"
"898";"Nordic Semiconductor";"150.30";"NOK";"Norway";"NOD";"Technology";"30928.0";"180.4";"141.3%";"1.3";"4.4%";"4.4%"
"2407";"Nordic Technology";"2.00";"NOK";"Norway";"NTG";"Industrials";"397.0";"-0.9";"25.6%";;"-65.8%";"9.3%"
"2279";"Nordisk Bergteknik";"11.70";"SEK";"Sweden";"NORB B";"Materials";"669.7";"23.4";"198.2%";"0.1";"4.9%";"-8.8%"
"2298";"Norditek";"12.50";"SEK";"Sweden";"NOTEK";"Industrials";"172.0";"15.3";"161.2%";"0.1";"11.0%";"15.4%"
"161";"Nordnet";"294.40";"SEK";"Sweden";"SAVE";"Financials";"73847.3";"24.9";"9.1%";"2.7";"1.2%";"14.2%"
"2526";"Nordrest";"299.50";"SEK";"Sweden";"NREST";"Consumer Durables";"3811.4";"19.4";"59.9%";"0.3";"66.3%";"110.3%"
"740";"Norion Bank";"56.00";"SEK";"Sweden";"NORION";"Financials";"10627.8";"7.9";"17.0%";"0.5";"2.9%";"28.8%"
"2342";"Norrhydro";"1.20";"EUR";"Finland";"NORRH";"Industrials";"149.0";"55.8";"117.7%";"0.5";"9.8%";"-17.4%"
"2160";"Norse Atlantic";"4.59";"NOK";"Norway";"NORSE";"Industrials";"768.6";"-1.1";"59.6%";;"-3.7%";"-12.7%"
"957";"Norsk Hydro";"85.54";"NOK";"Norway";"NHY";"Materials";"174317.2";"25.1";"17.6%";"1.4";"9.9%";"14.9%"
"2171";"Norsk Titanium";"0.88";"NOK";"Norway";"NTI";"Industrials";"928.9";"-1.2";"29.7%";;"-255.1%";"-71.7%"
"1880";"Norske Skog";"32.65";"NOK";"Norway";"NSKOG";"Materials";"2853.1";"6.9";"161.1%";"0.0";"5.6%";"25.1%"
"1170";"North Energy";"2.59";"NOK";"Norway";"NORTH";"Financials";"312.8";"-7.7";"-167.3%";;"-21.6%";"-10.2%"
"1270";"North Media";"48.40";"DKK";"Denmark";"NORTHM";"Consumer Durables";"1465.7";"17.9";"-20.7%";"-0.9";"5.3%";"20.1%"
"1956";"Northern CapSek";"9.50";"SEK";"Sweden";"CAPS";"Financials";"8.8";"-1.0";"24.1%";;"-14.2%";"-79.1%"
"1928";"Northern Ocean";"8.92";"NOK";"Norway";"NOL";"Energy";"2785.8";"-2.6";"-47.2%";;"-9.8%";"19.1%"
"958";"Norwegian Air Shuttle";"14.26";"NOK";"Norway";"NAS";"Industrials";"15493.7";"5.5";"106.3%";"0.1";"0.0%";"14.6%"
"2349";"Norwegian Block Exchange";"0.37";"NOK";"Norway";"NBX";"Technology";"103.1";"-4.1";"67.7%";;"-22.8%";"42.3%"
"2071";"NOS Nova";"1.21";"NOK";"Norway";"NOSN";"Utilities";"52.1";"-0.2";"43.1%";;"-12150.1%";"-13.4%"
"1369";"Nosa Plugs";"0.50";"SEK";"Sweden";"NOSA";"Technology";"130.6";"-15.9";"34.6%";;"-24.5%";"-44.0%"
"1664";"Nosium";"2.83";"SEK";"Sweden";"NOSIUM B";"Food and Beverage";"9.7";"-1.5";"82.5%";;"-24.2%";"-52.8%"
"162";"NOTE";"183.50";"SEK";"Sweden";"NOTE";"Technology";"5238.7";"18.6";"14.9%";"1.2";"22.5%";"-6.3%"
"310";"Novakand Pharma";"0.091";"SEK";"Sweden";"NOVKAN";"Health Care";"11.0";"-0.2";"0.1%";;;"-101.3%"
"906";"Novo Nordisk";"237.90";"DKK";"Denmark";"NOVO B";"Health Care";"1603958.3";"10.3";"1.7%";"6.0";"42.4%";"-65.0%"
"949";"Novonesis";"342.00";"DKK";"Denmark";"NSIS B";"Materials";"241839.0";"39.2";"63.8%";"0.6";"5.2%";"-25.6%"
"2123";"Nowonomics";"5.15";"SEK";"Sweden";"NOWO";"Financials";"130.7";"-7.6";"32.5%";;"-393.0%";"43.1%"
"164";"Novotek";"65.80";"SEK";"Sweden";"NTEK B";"Technology";"697.5";"17.8";"-49.3%";"-0.4";"30.9%";"-22.6%"
"562";"Novus";"3.72";"SEK";"Sweden";"NOVU";"Consumer Durables";"38.6";"-29.7";"-115.5%";;"-27.0%";"16.5%"
"441";"NP3 Fastigheter";"245.00";"SEK";"Sweden";"NP3";"Financials";"29113.6";"16.0";"25.6%";"0.6";"4.4%";"-3.6%"
"1094";"NRC Group";"7.70";"NOK";"Norway";"NRC";"Industrials";"1371.7";"53.3";"101.4%";"0.5";"6.0%";"30.7%"
"1265";"NTG Nordic Transport";"162.20";"DKK";"Denmark";"NTG";"Industrials";"5547.2";"16.3";"-28.7%";"-0.6";"15.4%";"-49.3%"
"826";"Nurminen Logistics";"0.82";"EUR";"Finland";"NLG1V";"Industrials";"737.9";"21.7";"-58.6%";"-0.4";"26.5%";"-31.3%"
"1338";"NYAB";"5.74";"SEK";"Sweden";"NYAB";"Industrials";"4092.6";"17.7";"26.6%";"0.7";"16.0%";"-8.0%"
"1750";"Nyfosa";"66.55";"SEK";"Sweden";"NYF";"Financials";"13849.5";"11.9";"8.1%";"1.5";"3.9%";"-30.1%"
"1986";"Nykode Therapeutics";"2.89";"NOK";"Norway";"NYKD";"Health Care";"972.0";"-7.6";"68.5%";;"-85.4%";"12.2%"
"581";"Obducat";"0.039";"SEK";"Sweden";"OBDU B";"Technology";"26.2";"-0.2";"-330.5%";;;"-103.0%"
"1890";"Observe Medical";"1.01";"NOK";"Norway";"OBSRV";"Health Care";"141.6";"-1.4";"88.9%";;"-174.6%";"-84.3%"
"2510";"Observit";"0.41";"SEK";"Sweden";"OBSE";"Technology";"248.0";"243.5";"54.5%";"4.5";"8.9%";"-15.2%"
"2374";"Ocean GeoLoop";"2.30";"NOK";"Norway";"OCEAN";"Industrials";"124.9";"-2.4";"-9.0%";;"-52.3%";"-70.9%"
"2032";"Ocean Sun";"1.64";"NOK";"Norway";"OSUN";"Utilities";"84.6";"-4.0";"-9.9%";;"-1696.1%";"3.6%"
"1095";"Odfjell B";"116.00";"NOK";"Norway";"ODFB";"Industrials";"9524.9";"5.9";"-44.1%";"-0.1";"14.2%";"7.9%"
"1096";"Odfjell Drilling";"101.00";"NOK";"Norway";"ODL";"Energy";"24947.1";"13.9";"167.2%";"0.1";"11.6%";"60.6%"
"2384";"Odfjell Technology";"71.90";"NOK";"Norway";"OTL";"Energy";"2922.6";"8.7";"29.5%";"0.3";"20.7%";"50.6%"
"1912";"ODI Pharma";"4.16";"SEK";"Sweden";"ODI";"Health Care";"76.3";"-101.7";"83.5%";;;"72.5%"
"2183";"Odinwell";"0.22";"SEK";"Sweden";"ODIN";"Health Care";"11.2";"-1.8";"31.5%";;"-18.6%";"-84.0%"
"168";"OEM International";"119.20";"SEK";"Sweden";"OEM B";"Industrials";"16570.7";"27.9";"-2.3%";"-12.1";"35.7%";"-23.3%"
"343";"Ogunsen";"27.15";"SEK";"Sweden";"OGUN B";"Industrials";"292.1";"20.6";"-32.3%";"-0.6";"58.1%";"-16.3%"
"1859";"OKEA";"39.95";"NOK";"Norway";"OKEA";"Energy";"4275.7";"-7.5";"-261.7%";;"-2.9%";"107.7%"
"1732";"Okeanis Eco Tankers";"450.50";"NOK";"Norway";"OET";"Industrials";"18440.4";"11.8";"11.5%";"1.0";"16.0%";"79.4%"
"724";"Olvi";"34.45";"EUR";"Finland";"OLVAS";"Food and Beverage";"7995.4";"11.1";"3.7%";"3.0";"23.5%";"-11.3%"
"1761";"Oma Säästöpankki";"11.92";"EUR";"Finland";"OMASP";"Financials";"4450.6";"10.1";"-34.0%";"-0.3";"0.8%";"14.3%"
"1978";"OMDA";"38.30";"NOK";"Norway";"OMDA";"Technology";"841.1";"123.6";"115.7%";"1.1";"10.3%";"-16.9%"
"1533";"Oncoinvent";"44.76";"NOK";"Norway";"ONCIN";"Health Care";"206.4";"-0.2";"30.8%";;"-10597.4%";"-82.9%"
"1406";"Oncopeptides";"1.51";"SEK";"Sweden";"ONCO";"Health Care";"596.9";"-1.4";"35.7%";;"-2779.6%";"-9.4%"
"2078";"OncoZenge";"5.56";"SEK";"Sweden";"ONCOZ";"Health Care";"78.1";"-4.2";"-76.6%";;"-128.7%";"-15.3%"
"2381";"Oneflow";"17.75";"SEK";"Sweden";"ONEF";"Technology";"504.0";"-9.8";"37.1%";;"-86.5%";"-43.3%"
"325";"Online Brands Nordic";"12.05";"SEK";"Sweden";"OBAB";"Consumer Durables";"309.7";"-25.4";"-33.9%";;"-1.1%";"-22.2%"
"1935";"OODA AI";"35.00";"SEK";"Sweden";"OODA";"Technology";"130.6";"-1.5";"51.3%";;"-53.3%";"-53.1%"
"550";"Opsy Holding";"7.55";"SEK";"Sweden";"OPSYH";"Health Care";"95.9";"-5.6";"97.5%";;"-1340.6%";"33.6%"
"2309";"Opter";"69.00";"SEK";"Sweden";"OPTER";"Technology";"414.0";"21.0";"12.7%";"1.7";"1389.8%";"-45.6%"
